Timestamp,Total score,¿Cuál es tu edad?,¿Sos estudiante o profesional de las Ciencias Médicas?,¿Cuál es su nivel de educación académica?,¿Cuántos años de experiencia tenés trabajando en el campo de las Ciencias Médicas?,¿Cursaste una materia de Estadística en tu formación de grado?,¿Hiciste un curso de Estadística por fuera de tu formación de grado?,¿Hiciste un curso o tuviste una materia de Metodología de la investigación? ¿Sentís que te sirvió para entender algunas cosas de Estadística?,"Con respecto a tu propia capacidad de interpretación  para analizar papers cientificos con contenido estadístico, ¿Qué tanta confianza te tenés?","¿Cuál es la diferencia entre media, mediana y moda?
Recordando que: 
-El promedio es la suma de todos los valores dividido el numero de valores. Por ejemplo el promedio del conjunto {1,5 ; 1,4 ; 2,1} es (1,5+1,4+2,1)/3 = 1,66
-El valor central es el valor ""del medio"", por ejemplo 1,5 en el conjunto anterior.",Un estudio presenta un nuevo tratamiento. El estudio supone como hipótesis nula que el tratamiento no produce mejoras significativas en los pacientes. Se informa un p-valor de 0.03 y se considera una significancia de 0.05. ¿Qué indica esto?,"Si un estudio encuentra una fuerte correlación entre dos variables, ¿Podemos concluir que una causa la otra?","Si un estudio encuentra un resultado estadísticamente significativo, ¿qué implica esto?","En un ensayo clínico, la diferencia en los efectos del tratamiento entre dos grupos no fue estadísticamente significativa. ¿Qué se puede concluir?","Supongamos que la presencia de un virus en una población es del 1% y que se ha desarrollado un test que tiene el 95% de eficacia en detectar ese virus en una persona. Supongamos que este 95% aplica tanto para personas sanas como infectadas, por lo que de cada 100 personas infectadas, se espera que el test detecte correctamente 95  y de 5 falsos negativos, y de cada 100 personas sanas, se espera que detecte a 95 y de 5 falsos positivos.

Si una persona da positivo y no sabemos nada más de ella ¿Cuál es la probabilidad de que esté realmente infectada?","Un estudio afirma en su abstract que un cierto tratamiento reduce el riesgo relativo de padecer una enfermedad en un 50% . Leyéndolo en detalle, vemos que la reducción absoluta de riesgo es del 1%. ¿Como interpretarías esto?","Se estudia un tratamiento para bajar la  presión arterial sistólica. Se informa el intervalo (2, 10) como la diferencia media de presión con respecto a la ausencia de tratamiento, con un 95% de confianza.
¿Qué significa esto en el contexto de la investigación médica?","Después de leer estas preguntas ¿Cambió tu percepción con respecto de tu propia capacidad para leer papers con contenido estadístico?

Por favor recordá está pregunta al ver las respuestas correctas después de terminar la encuesta."
2024/09/24 10:49:41 PM GMT-3,4,29-35 años,Si,Estudiante universitario,Entre uno y tres años,Si,No,"Si, hice un curso y si, siento que me sirvió.",5,"La media es el promedio, la mediana es el valor central, y la moda es el valor más frecuente.","El tratamiento no presenta mejoras estadísticamente significativas, pues el p-valor es menor a la significancia de 0.05 y esto implica el rechazo de la hipótesis nula.",No,Ambas son correctas,No hay evidencia de que haya diferencia entre los tratamientos,95%,El tratamiento no es tan efectivo como nos dice el abstracto pues la reducción de riesgo absoluto es del 1%,"Si repetimos 100 veces el experimento, esperamos que 95 veces la diferencia media observada estará dentro del intervalo (2,10).",Mi percepción de lo que sabía estaba mas o menos acertada.
2024/09/26 2:38:39 PM GMT-3,2,21-28 años,Si,Graduado universitario,Entre uno y tres años,No,No,"No, no hice un curso.",3,"La media es el promedio, la mediana es el valor más frecuente, y la moda es el valor central.",Hay entre un 3% a un 5% de probabilidad de que la vacuna sea efectiva,No,Ambas son correctas,No hay evidencia de que haya diferencia entre los tratamientos,95%,El tratamiento no es tan efectivo como nos dice el abstracto pues la reducción de riesgo absoluto es del 1%,"Si repetimos 100 veces el experimento, esperamos que 95 veces nos de el mismo intervalo (2,10)",Creo que sabía menos de lo que pensaba.
2024/09/26 2:49:12 PM GMT-3,5,29-35 años,Si,Graduado universitario,Menos de un año,Si,No,"No, no hice un curso.",4,"La media es el promedio, la mediana es el valor central, y la moda es el valor más frecuente.","El tratamiento presenta mejoras estadísticamente significativas, pues el p-valor es menor a la significancia de 0.05 y esto implica el rechazo de la hipótesis nula.",No,Es poco probable que el resultado haya ocurrido por casualidad,No hay evidencia de que haya diferencia entre los tratamientos,95%,El tratamiento no es tan efectivo como nos dice el abstracto pues la reducción de riesgo absoluto es del 1%,"Si repetimos 100 veces el experimento, esperamos que 95 veces la media será (2+10)/2 = 6",Creo que sabía menos de lo que pensaba.
2024/09/26 2:51:50 PM GMT-3,2,21-28 años,Si,Estudiante universitario,No trabajo en el campo de Ciencias Médicas.,No,No,"Si, hice un curso y si, siento que me sirvió.",2,"La media es el promedio, la mediana es el valor central, y la moda es el valor más frecuente.","El tratamiento no presenta mejoras estadísticamente significativas, pues el p-valor es menor a la significancia de 0.05 y esto implica el rechazo de la hipótesis nula.",Si,El resultado es importante y clínicamente relevante,Ambas son correctas,95%,No es posible definir si el tratamiento es efectivo o no.,"Si repetimos 100 veces el experimento, esperamos que 95 veces la diferencia media observada estará dentro del intervalo (2,10).",Mi percepción de lo que sabía estaba mas o menos acertada.
2024/09/26 5:31:11 PM GMT-3,7,29-35 años,Si,Especialista,Entre tres y seis años,Si,No,"Si, hice un curso y si, siento que me sirvió.",3,"La media es el promedio, la mediana es el valor central, y la moda es el valor más frecuente.","El tratamiento presenta mejoras estadísticamente significativas, pues el p-valor es menor a la significancia de 0.05 y esto implica el rechazo de la hipótesis nula.",No,Es poco probable que el resultado haya ocurrido por casualidad,No hay evidencia de que haya diferencia entre los tratamientos,16%,El tratamiento no es tan efectivo como nos dice el abstracto pues la reducción de riesgo absoluto es del 1%,"Si repetimos 100 veces el experimento, esperamos que 95 veces la diferencia media observada estará dentro del intervalo (2,10).",Mi percepción de lo que sabía estaba mas o menos acertada.
2024/09/26 9:53:44 PM GMT-3,5,29-35 años,Si,Estudiante de posgrado / Residente.,Entre tres y seis años,No,Si,"Si, hice un curso y si, siento que me sirvió.",4,"La media es el promedio, la mediana es el valor central, y la moda es el valor más frecuente.","El tratamiento presenta mejoras estadísticamente significativas, pues el p-valor es menor a la significancia de 0.05 y esto implica el rechazo de la hipótesis nula.",Si,Es poco probable que el resultado haya ocurrido por casualidad,No hay evidencia de que haya diferencia entre los tratamientos,95%,El tratamiento es altamente efectivo pues reduce el riesgo relativo a la mitad.,"Si repetimos 100 veces el experimento, esperamos que 95 veces la diferencia media observada estará dentro del intervalo (2,10).",Creo que sabía menos de lo que pensaba.
2024/09/27 10:31:12 AM GMT-3,4,21-28 años,Si,Graduado universitario,No trabajo en el campo de Ciencias Médicas.,No,No,"No, no hice un curso.",3,"La media es el promedio, la mediana es el valor central, y la moda es el valor más frecuente.","El tratamiento no presenta mejoras estadísticamente significativas, pues el p-valor es menor a la significancia de 0.05 y esto implica el rechazo de la hipótesis nula.",No,Ambas son correctas,No hay evidencia de que haya diferencia entre los tratamientos,95%,No es posible definir si el tratamiento es efectivo o no.,"Si repetimos 100 veces el experimento, esperamos que 95 veces la diferencia media observada estará dentro del intervalo (2,10).",Creo que sabía menos de lo que pensaba.
2024/10/03 7:08:47 PM GMT-3,3,21-28 años,Si,Estudiante universitario,Menos de un año,No,No,"Si, hice un curso y si, siento que me sirvió.",4,"La media es el promedio, la mediana es el valor central, y la moda es el valor más frecuente.","El tratamiento no presenta mejoras estadísticamente significativas, pues el p-valor es menor a la significancia de 0.05 y esto implica el rechazo de la hipótesis nula.",No,Ambas son correctas,Ambas son correctas,95%,El tratamiento no es tan efectivo como nos dice el abstracto pues la reducción de riesgo absoluto es del 1%,"Si repetimos 100 veces el experimento, esperamos que 95 veces la diferencia media observada estará dentro del intervalo (2,10).",Mi percepción de lo que sabía estaba mas o menos acertada.
2024/10/03 7:20:23 PM GMT-3,4,21-28 años,Si,Estudiante universitario,No trabajo en el campo de Ciencias Médicas.,Si,No,"No, no hice un curso.",3,"La media es el promedio, la mediana es el valor central, y la moda es el valor más frecuente.","El tratamiento presenta mejoras estadísticamente significativas, pues el p-valor es menor a la significancia de 0.05 y esto implica el rechazo de la hipótesis nula.",Si,Ambas son correctas,Ambas son correctas,16%,El tratamiento no es tan efectivo como nos dice el abstracto pues la reducción de riesgo absoluto es del 1%,"Si repetimos 100 veces el experimento, esperamos que 95 veces la diferencia media observada estará dentro del intervalo (2,10).",Creo que sabía menos de lo que pensaba.
2024/10/03 7:42:27 PM GMT-3,2,21-28 años,Si,Estudiante universitario,No trabajo en el campo de Ciencias Médicas.,Si,No,"Si, hice un curso y no, siento que no me sirvió.",3,"La media es el promedio, la mediana es el valor central, y la moda es el valor más frecuente.","El tratamiento no presenta mejoras estadísticamente significativas, pues el p-valor es menor a la significancia de 0.05 y esto implica el rechazo de la hipótesis nula.",Si,Ambas son correctas,No hay evidencia de que haya diferencia entre los tratamientos,95%,El tratamiento no es tan efectivo como nos dice el abstracto pues la reducción de riesgo absoluto es del 1%,"Si repetimos 100 veces el experimento, esperamos que 95 veces nos de el mismo intervalo (2,10)",Mi percepción de lo que sabía estaba mas o menos acertada.
